record_id,crop_name,layer_number,depth_start_cm,depth_end_cm,ph,ec_ds_m,organic_carbon_pct,available_n_kg_ha,available_p_kg_ha,available_k_kg_ha,sulphur_ppm,zinc_ppm,iron_ppm,soil_texture,n_status,p_status,k_status,n_requirement_kg_acre,p_requirement_kg_acre,k_requirement_kg_acre,rec_urea_kg_acre,rec_dap_kg_acre,rec_mop_kg_acre,rec_ssp_kg_acre,rec_zinc_sulphate_kg_acre,rec_gypsum_kg_acre,priority_nutrient,caution_flag,provenance_source,provenance_citation
SOIL_REC_00001,Wheat,1,0,15,5.87,2.13,0.38,189.8,10.3,356.6,19.3,1.14,2.8,Red soil,Low,Medium,High,62.5,25.0,0.0,135.9,0.0,0.0,156.2,0.0,0.0,Nitrogen,ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00002,Wheat,2,15,30,5.81,0.8,0.54,300.5,27.1,256.9,15.7,0.92,5.14,Red soil,Medium,High,Medium,50.0,0.0,16.0,108.7,0.0,26.7,0.0,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00003,Wheat,3,30,60,8.37,2.17,0.15,165.7,8.8,83.8,25.4,0.36,6.11,Red soil,Low,Low,Low,62.5,32.5,20.0,108.3,70.7,40.0,0.0,10.0,0.0,Zinc,HIGH_EC_SALINITY;ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00004,Wheat,1,0,15,8.3,1.77,0.92,484.9,28.5,440.3,14.6,1.08,10.38,Clay loam,Medium,High,High,45.0,0.0,0.0,97.8,0.0,0.0,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00005,Wheat,2,15,30,7.54,2.44,0.52,354.2,5.9,129.0,12.1,0.33,4.71,Clay loam,Medium,Low,Low,50.0,32.5,20.0,81.1,70.7,40.0,0.0,10.0,0.0,Phosphorus,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00006,Wheat,3,30,60,5.83,0.92,0.38,151.2,10.8,82.7,11.5,1.7,8.66,Clay loam,Low,Medium,Low,62.5,25.0,20.0,135.9,0.0,33.3,156.2,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00007,Wheat,1,0,15,7.6,1.59,0.38,351.1,17.3,423.1,23.3,0.55,5.58,Alluvial,Medium,Medium,High,50.0,25.0,0.0,87.4,54.3,0.0,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00008,Wheat,2,15,30,8.04,0.35,0.7,391.9,17.1,85.4,29.6,1.11,9.32,Alluvial,Medium,Medium,Low,50.0,25.0,20.0,87.4,54.3,33.3,0.0,0.0,0.0,Potassium,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00009,Wheat,3,30,60,6.2,1.5,0.5,220.7,6.0,70.1,24.9,1.06,9.6,Alluvial,Low,Low,Low,62.5,32.5,20.0,108.3,70.7,33.3,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00010,Wheat,1,0,15,8.46,1.24,0.36,618.8,27.4,122.7,5.3,0.38,8.46,Black soil,High,High,Low,20.0,0.0,20.0,43.5,0.0,33.3,0.0,10.0,0.0,Potassium,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00011,Wheat,2,15,30,8.11,1.3,0.16,233.1,35.9,210.4,31.2,1.58,2.61,Black soil,Low,High,Medium,62.5,0.0,16.0,135.9,0.0,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00012,Wheat,3,30,60,7.88,1.97,0.33,126.7,16.5,65.1,16.2,0.93,11.56,Black soil,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,33.3,0.0,0.0,0.0,Nitrogen,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00013,Wheat,1,0,15,6.37,1.5,0.32,576.3,42.6,197.4,21.9,1.17,3.95,Red soil,High,High,Medium,20.0,0.0,16.0,43.5,0.0,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00014,Wheat,2,15,30,8.02,1.6,0.67,288.9,4.5,155.0,4.5,1.69,10.85,Red soil,Medium,Low,Medium,50.0,32.5,16.0,81.1,70.7,26.7,0.0,0.0,0.0,Phosphorus,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00015,Wheat,3,30,60,8.24,1.0,0.1,279.5,22.9,60.4,17.6,0.31,9.73,Red soil,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,33.3,0.0,10.0,0.0,Zinc,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00016,Wheat,1,0,15,5.92,1.44,0.67,252.5,42.6,242.3,9.9,1.06,9.43,Loam,Low,High,Medium,62.5,0.0,16.0,135.9,0.0,26.7,0.0,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
