symbol,commodity_name,product_group,basis_center,contract_expiry,trade_date,open_price,high_price,low_price,close_price,settlement_price,spot_price,volume_contracts,open_interest,unit,data_origin
KAPAS,Kapas,Fibres,Rajkot,2026-10-20,2026-09-11,1932.00,1952.50,1928.00,1947.50,1968.50,1944.70,4210,14800,₹/20 Kg,DEMO
KAPAS,Kapas,Fibres,Rajkot,2026-11-20,2026-09-11,1950.00,1978.00,1945.00,1972.00,1985.00,1944.70,2180,7920,₹/20 Kg,DEMO
KAPAS,Kapas,Fibres,Rajkot,2027-04-30,2026-09-11,1980.00,2015.00,1975.00,2008.00,2012.00,1944.70,1420,5400,₹/20 Kg,DEMO
RMSEED,Mustard Seed,Oil & Oilseeds,Jaipur,2026-10-20,2026-09-11,5810.00,5890.00,5790.00,5865.00,5880.00,5750.00,5120,19400,₹/Quintal,DEMO
RMSEED,Mustard Seed,Oil & Oilseeds,Jaipur,2026-11-20,2026-09-11,5890.00,5975.00,5870.00,5945.00,5960.00,5750.00,2680,10450,₹/Quintal,DEMO
CHANA,Chana (Gram),Cereals & Pulses,Bikaner,2026-10-20,2026-09-11,7280.00,7390.00,7250.00,7360.00,7375.00,7220.00,3480,13600,₹/Quintal,DEMO
CHANA,Chana (Gram),Cereals & Pulses,Bikaner,2026-11-20,2026-09-11,7360.00,7480.00,7330.00,7440.00,7460.00,7220.00,1620,6840,₹/Quintal,DEMO
SOYBEAN,Soybean,Oil & Oilseeds,Indore,2026-10-20,2026-09-11,4790.00,4860.00,4760.00,4825.00,4840.00,4710.00,4150,16100,₹/Quintal,DEMO
SOYBEAN,Soybean,Oil & Oilseeds,Indore,2026-11-20,2026-09-11,4860.00,4935.00,4840.00,4910.00,4925.00,4710.00,1890,8120,₹/Quintal,DEMO
GUARSEED10,Guar Seed 10 MT,Guar Complex,Jodhpur,2026-10-20,2026-09-11,5460.00,5540.00,5440.00,5510.00,5525.00,5390.00,6890,26400,₹/Quintal,DEMO
GUARSEED10,Guar Seed 10 MT,Guar Complex,Jodhpur,2026-11-20,2026-09-11,5540.00,5625.00,5520.00,5590.00,5610.00,5390.00,3120,12100,₹/Quintal,DEMO
GUARGUM5,Guar Gum 5 MT,Guar Complex,Jodhpur,2026-10-20,2026-09-11,10920.00,11110.00,10880.00,11040.00,11065.00,10820.00,2140,9150,₹/Quintal,DEMO
JEERAUNJHA,Jeera (Cumin),Spices,Unjha,2026-10-20,2026-09-11,25700.00,26350.00,25550.00,26180.00,26240.00,25400.00,1980,7750,₹/Quintal,DEMO
DHANIYA,Coriander (Dhaniya),Spices,Kota,2026-10-20,2026-09-11,7490.00,7640.00,7460.00,7590.00,7610.00,7420.00,1390,5820,₹/Quintal,DEMO
TMCFGRNZM,Turmeric Farmer Polish,Spices,Nizamabad,2026-10-20,2026-09-11,14450.00,14920.00,14380.00,14810.00,14860.00,14320.00,1080,4420,₹/Quintal,DEMO
CASTOR,Castor Seed,Oil & Oilseeds,Deesa,2026-10-20,2026-09-11,6140.00,6240.00,6120.00,6200.00,6215.00,6090.00,1560,6480,₹/Quintal,DEMO
BARLEY,Barley,Cereals & Pulses,Jaipur,2026-10-20,2026-09-11,2160.00,2225.00,2150.00,2210.00,2215.00,2130.00,720,2950,₹/Quintal,DEMO
BAJRA,Bajra (Pearl Millet),Cereals & Pulses,Jaipur,2026-10-20,2026-09-11,2360.00,2420.00,2350.00,2405.00,2410.00,2330.00,590,2100,₹/Quintal,DEMO
MAIZE,Maize (Corn),Cereals & Pulses,Gulabbagh,2026-10-20,2026-09-11,2310.00,2375.00,2290.00,2350.00,2355.00,2260.00,1240,4720,₹/Quintal,DEMO
WHEAT,Wheat,Cereals & Pulses,Kota,2026-10-20,2026-09-11,2610.00,2670.00,2595.00,2650.00,2655.00,2560.00,2350,10200,₹/Quintal,DEMO
COTTON,29mm Cotton,Fibres,Rajkot,2026-10-31,2026-09-11,57400.00,58200.00,57100.00,57950.00,58400.00,57200.00,540,2150,₹/Candy,DEMO
GROUNDNUT,Groundnut (Pods),Oil & Oilseeds,Bikaner,2026-10-20,2026-09-11,6510.00,6630.00,6480.00,6590.00,6605.00,6440.00,860,3350,₹/Quintal,DEMO
AGRIDEX,NCDEX Agridex Futures,Index & Weather,Mumbai,2026-10-20,2026-09-11,1665.00,1695.00,1660.00,1686.00,1690.00,1664.00,390,1420,Points,DEMO
