weather_id,region_id,date,temp_min_c,temp_max_c,rainfall_mm,humidity_pct,wind_speed_kmph,forecast_type,source,data_origin
WX000001,REG001,2026-06-01,17.2,28.7,8.2,86.3,2,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000002,REG001,2026-06-02,16.9,30.8,2.3,87.5,9.7,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000003,REG001,2026-06-03,15.6,29.4,5.5,83.4,9.0,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000004,REG001,2026-06-04,16.8,29.7,2.9,82.5,9.9,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000005,REG001,2026-06-05,18.6,31.9,11.8,80.8,6.4,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000006,REG001,2026-06-06,19.2,28.1,6.7,77.6,8.5,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000007,REG001,2026-06-07,18.1,28.8,10.5,73.8,10.0,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000008,REG001,2026-06-08,18.9,30.8,3.2,76.1,3.1,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000009,REG001,2026-06-09,19.0,28.6,0.6,80.0,9.5,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000010,REG001,2026-06-10,17.1,26.6,16.7,86.6,11.5,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000011,REG001,2026-06-11,17.6,32.0,2.9,80.1,17.0,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000012,REG001,2026-06-12,16.8,32.7,2.7,84.8,5.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000013,REG001,2026-06-13,18.1,31.4,5.9,69.1,9.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000014,REG001,2026-06-14,17.9,29.6,4.8,82.5,14.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000015,REG001,2026-06-15,18.1,28.1,4.0,89.8,12.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000016,REG001,2026-06-16,18.1,28.3,5.6,82.0,11.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000017,REG001,2026-06-17,17.6,26.7,14.7,78.0,8.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000018,REG001,2026-06-18,15.8,28.7,1.6,81.7,9.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000019,REG001,2026-06-19,17.5,32.9,2.5,76.1,6.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000020,REG001,2026-06-20,18.3,29.1,3.5,88.3,17.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000021,REG001,2026-06-21,20.7,29.3,10.1,82.5,3.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000022,REG001,2026-06-22,17.8,29.3,3.4,83.5,8.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000023,REG001,2026-06-23,19.4,31.6,5.9,81.0,10.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000024,REG001,2026-06-24,18.5,28.7,0.5,88.0,11.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000025,REG001,2026-06-25,19.7,29.8,8.0,75.4,9.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000026,REG001,2026-06-26,15.9,27.1,14.7,65.8,4.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000027,REG001,2026-06-27,17.3,25.4,4.1,79.9,11.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000028,REG001,2026-06-28,17.5,30.0,11.6,78.3,12.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000029,REG001,2026-06-29,18.1,28.0,26.4,83.5,9.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000030,REG001,2026-06-30,18.9,27.1,9.2,72.2,10.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000031,REG001,2026-07-01,17.6,29.1,3.2,84.7,13.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000032,REG001,2026-07-02,19.7,28.2,1.5,74.9,9.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000033,REG001,2026-07-03,17.6,28.9,1.2,80.4,10.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000034,REG001,2026-07-04,16.6,27.7,5.0,76.6,7.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000035,REG001,2026-07-05,18.1,29.0,2.4,78.5,11.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000036,REG001,2026-07-06,18.2,30.2,4.8,77.8,4.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000037,REG001,2026-07-07,15.6,30.8,8.9,83.6,13.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000038,REG001,2026-07-08,13.5,28.6,2.8,87.0,9.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000039,REG001,2026-07-09,17.5,26.9,15.4,80.3,10.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000040,REG001,2026-07-10,17.2,27.2,2.9,77.2,10.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000041,REG001,2026-07-11,19.8,30.1,12.4,88.3,8.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000042,REG001,2026-07-12,18.0,27.6,11.9,75.5,11.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000043,REG001,2026-07-13,19.7,31.5,10.2,81.9,8.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000044,REG001,2026-07-14,16.7,28.7,6.0,76.0,6.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000045,REG001,2026-07-15,18.3,31.7,5.0,71.6,6.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000046,REG001,2026-07-16,18.1,32.4,0.9,81.7,12.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000047,REG001,2026-07-17,17.3,29.2,7.3,76.6,13.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000048,REG001,2026-07-18,17.9,28.1,1.1,74.2,3.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000049,REG001,2026-07-19,16.5,31.6,2.4,72.0,6.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000050,REG001,2026-07-20,20.2,28.3,3.4,78.9,10.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000051,REG001,2026-07-21,15.7,32.6,10.9,84.0,11.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000052,REG001,2026-07-22,18.1,28.0,2.0,82.7,18.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000053,REG001,2026-07-23,17.0,31.8,5.1,74.9,12.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000054,REG001,2026-07-24,15.5,26.3,8.6,78.0,7.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000055,REG001,2026-07-25,17.1,30.0,24.2,82.1,11.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000056,REG001,2026-07-26,14.8,27.7,8.3,76.8,11.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000057,REG001,2026-07-27,19.7,24.6,18.6,83.5,12.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000058,REG001,2026-07-28,18.6,29.1,11.3,71.5,10.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000059,REG001,2026-07-29,18.5,28.5,4.0,81.0,9.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000060,REG001,2026-07-30,16.9,33.1,12.5,80.5,8.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000061,REG001,2026-07-31,18.4,30.7,13.5,70.6,9.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000062,REG001,2026-08-01,19.3,29.0,11.4,85.2,7.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000063,REG001,2026-08-02,17.6,31.5,3.4,82.1,4.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
